STATUS;FROM;TO
OK;20720;20740
OK;20660;20680
OK;20740;20760
OK;20700;20720
OK;20760;20780
OK;20680;20700
OK;20800;20820
OK;20820;20840
OK;20840;20860
OK;20880;20900
OK;20860;20880
OK;20920;20940
OK;20900;20920
OK;20780;20800
OK;20960;20980
OK;20940;20960
OK;20980;21000
OK;25000;25020
OK;25060;25080
OK;25020;25040
OK;25080;25100
OK;25040;25060
OK;25100;25120
OK;25180;25200
OK;25120;25140
OK;25160;25180
OK;25140;25160
OK;25240;25260
OK;25260;25280
OK;25220;25240
OK;25200;25220
OK;25280;25300
OK;25300;25320
OK;25320;25340
OK;25380;25400
OK;25340;25360
OK;25360;25380
OK;25420;25440
OK;25460;25480
OK;25440;25460
OK;25500;25520
OK;25480;25500
OK;25540;25560
OK;25400;25420
OK;25520;25540
OK;25580;25600
OK;25560;25580
OK;25620;25640
OK;25600;25620
OK;25640;25660
OK;25680;25700
OK;25700;25720
OK;25660;25680
OK;25720;25740
OK;25740;25760
OK;25780;25800
OK;25800;25820
OK;25760;25780
OK;25840;25860
OK;25860;25880
OK;25820;25840
OK;25880;25900
OK;25920;25940
OK;25940;25960
OK;25900;25920
OK;25960;25980
OK;25980;26000
OK;26000;26020
OK;26040;26060
OK;26020;26040
OK;26100;26120
OK;26060;26080
OK;26160;26180
OK;26080;26100
OK;26120;26140
OK;26180;26200
OK;26140;26160
OK;26200;26220
OK;26240;26260
OK;26300;26320
OK;26260;26280
OK;26280;26300
OK;26220;26240
OK;26360;26380
OK;26320;26340
OK;26380;26400
OK;26340;26360
OK;26400;26420
OK;26440;26460
OK;26420;26440
OK;26500;26520
OK;26460;26480
OK;26520;26540
OK;26480;26500
OK;26540;26560
OK;26560;26580
OK;26580;26600
OK;26620;26640
OK;26600;26620
OK;26640;26660
OK;26680;26700
OK;26700;26720
OK;26720;26740
OK;26740;26760
OK;26760;26780
OK;26660;26680
OK;26780;26800
OK;26800;26820
OK;26820;26840
OK;26840;26860
OK;26860;26880
OK;26880;26900
OK;26900;26920
OK;26920;26940
OK;26940;26960
OK;26960;26980
OK;26980;27000
OK;27060;27080
OK;27040;27060
OK;27080;27100
OK;27020;27040
OK;27160;27180
OK;27000;27020
OK;27120;27140
OK;27220;27240
OK;27100;27120
OK;27140;27160
OK;27200;27220
OK;27260;27280
OK;27180;27200
OK;27240;27260
OK;27300;27320
OK;27280;27300
OK;27320;27340
OK;27360;27380
OK;27340;27360
OK;27400;27420
OK;27440;27460
OK;27420;27440
OK;27480;27500
OK;27380;27400
OK;27460;27480
OK;27500;27520
OK;27520;27540
OK;27540;27560
OK;27600;27620
OK;27580;27600
OK;27620;27640
OK;27640;27660
OK;27560;27580
OK;27660;27680
OK;27680;27700
OK;27700;27720
OK;27720;27740
OK;27740;27760
OK;27760;27780
OK;27780;27800
OK;27820;27840
OK;27800;27820
OK;27840;27860
OK;27860;27880
OK;27900;27920
OK;27920;27940
OK;27880;27900
OK;27980;28000
OK;27940;27960
OK;27960;27980
OK;21040;21060
OK;21080;21100
OK;21020;21040
OK;21000;21020
OK;21060;21080
OK;21140;21160
OK;21120;21140
OK;21160;21180
OK;21200;21220
OK;21100;21120
OK;21260;21280
OK;21220;21240
OK;21240;21260
OK;21280;21300
OK;21300;21320
OK;21180;21200
OK;21360;21380
OK;21320;21340
OK;21340;21360
OK;21380;21400
OK;21400;21420
OK;21420;21440
OK;21480;21500
OK;21440;21460
OK;21500;21520
OK;21560;21580
OK;21520;21540
OK;21460;21480
OK;21580;21600
OK;21540;21560
OK;21600;21620
OK;21620;21640
OK;21640;21660
OK;21660;21680
OK;21720;21740
OK;21700;21720
OK;21740;21760
OK;21680;21700
OK;21780;21800
OK;21760;21780
OK;21800;21820
OK;21880;21900
OK;21820;21840
OK;21860;21880
OK;21920;21940
OK;21900;21920
OK;21980;22000
OK;21940;21960
OK;21960;21980
OK;21840;21860
OK;22020;22040
OK;22080;22100
OK;22100;22120
OK;22120;22140
OK;22180;22200
OK;22160;22180
OK;22140;22160
OK;22200;22220
OK;22240;22260
OK;22220;22240
OK;22280;22300
OK;22300;22320
OK;22260;22280
OK;22360;22380
OK;22340;22360
OK;22400;22420
OK;22320;22340
OK;22420;22440
OK;22380;22400
OK;22440;22460
OK;22460;22480
OK;22520;22540
OK;22480;22500
OK;22500;22520
OK;22560;22580
OK;22540;22560
OK;22640;22660
OK;22580;22600
OK;22600;22620
OK;22660;22680
OK;22620;22640
OK;22680;22700
OK;22700;22720
OK;22720;22740
OK;22060;22080
OK;22800;22820
OK;22040;22060
OK;22000;22020
OK;22780;22800
OK;22820;22840
OK;22840;22860
OK;22880;22900
OK;22760;22780
OK;22940;22960
OK;22920;22940
OK;22960;22980
OK;22980;23000
OK;22900;22920
OK;22860;22880
OK;22740;22760
OK;28000;28020
OK;28020;28040
OK;28060;28080
OK;28120;28140
OK;28040;28060
OK;28140;28160
OK;28100;28120
OK;28160;28180
OK;28080;28100
OK;28180;28200
OK;28200;28220
OK;28220;28240
OK;28300;28320
OK;28260;28280
OK;28240;28260
OK;28320;28340
OK;28360;28380
OK;28340;28360
OK;28280;28300
OK;28400;28420
OK;28460;28480
OK;28480;28500
OK;28440;28460
OK;28520;28540
OK;28500;28520
OK;28380;28400
OK;28540;28560
OK;28420;28440
OK;28580;28600
OK;28560;28580
OK;28600;28620
OK;28620;28640
OK;28640;28660
OK;28680;28700
OK;28660;28680
OK;28700;28720
OK;28740;28760
OK;28760;28780
OK;28780;28800
OK;28840;28860
OK;28820;28840
OK;28720;28740
OK;28860;28880
OK;28880;28900
OK;28900;28920
OK;28920;28940
OK;28980;29000
OK;28960;28980
OK;28940;28960
OK;28800;28820
OK;23020;23040
OK;23060;23080
OK;23080;23100
OK;23000;23020
OK;23040;23060
OK;23140;23160
OK;23160;23180
OK;23120;23140
OK;23100;23120
OK;23220;23240
OK;23260;23280
OK;23240;23260
OK;23200;23220
OK;23300;23320
OK;23280;23300
OK;23180;23200
OK;23360;23380
OK;23400;23420
OK;23340;23360
OK;23440;23460
OK;23380;23400
OK;23480;23500
OK;23320;23340
OK;23420;23440
OK;23460;23480
OK;23540;23560
OK;23500;23520
OK;23580;23600
OK;23560;23580
OK;23520;23540
OK;23640;23660
OK;23700;23720
OK;23620;23640
OK;23600;23620
OK;23660;23680
OK;23740;23760
OK;23720;23740
OK;23680;23700
OK;23760;23780
OK;23840;23860
OK;23800;23820
OK;23780;23800
OK;23820;23840
OK;23860;23880
OK;23920;23940
OK;23940;23960
OK;23900;23920
OK;23980;24000
OK;23960;23980
OK;23880;23900
OK;29040;29060
OK;29000;29020
OK;29060;29080
OK;29080;29100
OK;29100;29120
OK;29020;29040
OK;29140;29160
OK;29160;29180
OK;29120;29140
OK;29200;29220
OK;29180;29200
OK;29240;29260
OK;29220;29240
OK;29280;29300
OK;29340;29360
OK;29320;29340
OK;29360;29380
OK;29260;29280
OK;29300;29320
OK;29400;29420
OK;29380;29400
OK;29460;29480
OK;29440;29460
OK;29480;29500
OK;29520;29540
OK;29500;29520
OK;29540;29560
OK;29580;29600
OK;29560;29580
OK;29420;29440
OK;29600;29620
OK;29620;29640
OK;29660;29680
OK;29680;29700
OK;29720;29740
OK;29740;29760
OK;29640;29660
OK;29800;29820
OK;29760;29780
OK;29840;29860
OK;29780;29800
OK;29700;29720
OK;29860;29880
OK;29900;29920
OK;29880;29900
OK;29920;29940
OK;29960;29980
OK;29820;29840
OK;29940;29960
OK;29980;30000
OK;24000;24020
OK;24020;24040
OK;24080;24100
OK;24040;24060
OK;24140;24160
OK;24060;24080
OK;24160;24180
OK;24100;24120
OK;24200;24220
OK;24120;24140
OK;24240;24260
OK;24220;24240
OK;24280;24300
OK;24260;24280
OK;24180;24200
OK;24320;24340
OK;24300;24320
OK;24360;24380
OK;24340;24360
OK;24440;24460
OK;24400;24420
OK;24460;24480
OK;24380;24400
OK;24420;24440
OK;24520;24540
OK;24480;24500
OK;24500;24520
OK;24580;24600
OK;24540;24560
OK;24560;24580
OK;24600;24620
OK;24660;24680
OK;24640;24660
OK;24620;24640
OK;24700;24720
OK;24720;24740
OK;24740;24760
OK;24780;24800
OK;24760;24780
OK;24800;24820
OK;24820;24840
OK;24840;24860
OK;24680;24700
OK;24880;24900
OK;24900;24920
OK;24920;24940
OK;24860;24880
OK;24960;24980
OK;24940;24960
OK;24980;25000
OK;30000;30020
OK;30060;30080
OK;30020;30040
OK;30040;30060
OK;30120;30140
OK;30080;30100
OK;30140;30160
OK;30100;30120
OK;30200;30220
OK;30220;30240
OK;30280;30300
OK;30180;30200
OK;30160;30180
OK;30260;30280
OK;30340;30360
OK;30240;30260
OK;30300;30320
OK;30360;30380
OK;30400;30420
OK;30320;30340
OK;30380;30400
OK;30420;30440
OK;30460;30480
OK;30480;30500
